time,open,high,low,close,Volume
2024-05-06T08:15:00Z,18018.25,18032,18015.25,18030.75,1659
2024-05-06T08:30:00Z,18030.25,18036.5,18026.75,18029.25,1308
2024-05-06T08:45:00Z,18028.75,18031,18024,18028.25,819
2024-05-06T09:00:00Z,18028.5,18034,18025,18033.25,954
2024-05-06T09:15:00Z,18033.5,18041,18030.25,18037.5,1214
2024-05-06T09:30:00Z,18037.75,18044.25,18033,18041,1050
2024-05-06T09:45:00Z,18040.5,18045.75,18038.5,18043.75,972
2024-05-06T10:00:00Z,18043.25,18051,18042.25,18048.75,1601
2024-05-06T10:15:00Z,18047.75,18055.25,18047.5,18054.25,1189
2024-05-06T10:30:00Z,18054.25,18059.75,18041.25,18052,1944
2024-05-06T10:45:00Z,18051.75,18059,18042.5,18052.25,1784
2024-05-06T11:00:00Z,18052.25,18052.25,18040,18042,1603
2024-05-06T11:15:00Z,18041.75,18047,18036.75,18044.75,1472
2024-05-06T11:30:00Z,18045,18051.25,18042,18049.5,1298
2024-05-06T11:45:00Z,18049.25,18049.25,18038.25,18042.5,1686
2024-05-06T12:00:00Z,18042.5,18053,18037.5,18048.75,2101
2024-05-06T12:15:00Z,18049.25,18067.75,18049,18065.25,2603
2024-05-06T12:30:00Z,18065,18072.75,18057.75,18058.75,3776
2024-05-06T12:45:00Z,18059.25,18062.25,18055.25,18059.25,1935
2024-05-06T13:00:00Z,18058.75,18064.5,18054,18055,2767
2024-05-06T13:15:00Z,18055.5,18078.25,18053.75,18074.25,4509
2024-05-06T13:30:00Z,18074.25,18101.5,18042.75,18085.5,39180
2024-05-06T13:45:00Z,18085.75,18109.75,18084,18109.75,21867
2024-05-06T14:00:00Z,18109.75,18117,18087.5,18098.25,18917
2024-05-06T14:15:00Z,18098.5,18106.5,18079,18094,14718
2024-05-06T14:30:00Z,18094.25,18111,18087.75,18100.75,11791
2024-05-06T14:45:00Z,18100,18107.5,18088.5,18098.25,10656
2024-05-06T15:00:00Z,18098.25,18101.5,18078.25,18089.25,11846
2024-05-06T15:15:00Z,18089,18103.75,18085.5,18097.25,6940
2024-05-06T15:30:00Z,18097.75,18113.75,18094.5,18111.25,9105
2024-05-06T15:45:00Z,18111.5,18121.5,18108.75,18111.25,7961
2024-05-06T16:00:00Z,18111.5,18112.25,18090.5,18092.25,7128
2024-05-06T16:15:00Z,18093,18094.75,18067.25,18089.5,12682
2024-05-06T16:30:00Z,18089.25,18109,18085.75,18107.75,8967
2024-05-06T16:45:00Z,18108.25,18119.25,18090.75,18117.5,9945
2024-05-06T17:00:00Z,18117.75,18125.5,18094,18104.25,11903
2024-05-06T17:15:00Z,18104,18114.25,18093,18111.75,6370
2024-05-06T17:30:00Z,18112,18130,18106.75,18127.75,5471
2024-05-06T17:45:00Z,18128.5,18132.25,18118.5,18128.5,6351
2024-05-06T18:00:00Z,18128.5,18138.75,18124.75,18131,6639
2024-05-06T18:15:00Z,18131,18154.75,18123.5,18146.5,10365
2024-05-06T18:30:00Z,18146.75,18148.25,18131,18136.25,7132
2024-05-06T18:45:00Z,18135.75,18153,18134.5,18145.75,6514
2024-05-06T19:00:00Z,18145.5,18148.5,18132.75,18139,6020
2024-05-06T19:15:00Z,18139,18148.25,18129.5,18140.25,6727
2024-05-06T19:30:00Z,18140,18154.25,18131,18152.75,7794
2024-05-06T19:45:00Z,18153,18198.25,18145.75,18197.25,28775
2024-05-06T20:00:00Z,18197.25,18201.25,18184.25,18187.75,12222
2024-05-06T20:15:00Z,18187.75,18188,18179.25,18184.5,1862
2024-05-06T20:30:00Z,18184.5,18187.25,18183,18185.25,922
2024-05-06T20:45:00Z,18185.25,18187.5,18183,18185.5,1129
2024-05-06T22:00:00Z,18189.5,18189.5,18175.5,18183,971
2024-05-06T22:15:00Z,18182.25,18187.75,18182,18186,538
2024-05-06T22:30:00Z,18185.25,18189,18182.25,18187.5,337
2024-05-06T22:45:00Z,18187,18193,18184.25,18192,619
2024-05-06T23:00:00Z,18191.75,18196.75,18184,18185.5,912
2024-05-06T23:15:00Z,18185.5,18187.5,18181.75,18186.75,585
2024-05-06T23:30:00Z,18186.5,18188.25,18181,18185,427
2024-05-06T23:45:00Z,18185,18187,18179.5,18184.25,629
2024-05-07T00:00:00Z,18184,18188.25,18180.5,18182,745
2024-05-07T00:15:00Z,18182.5,18184,18177.5,18180.25,684
2024-05-07T00:30:00Z,18179.75,18180,18171.25,18179,906
2024-05-07T00:45:00Z,18179.75,18179.75,18175.25,18177.75,456
2024-05-07T01:00:00Z,18178.25,18178.5,18168.75,18172,1204
2024-05-07T01:15:00Z,18172.5,18175.5,18170.5,18173.75,552
2024-05-07T01:30:00Z,18173.5,18183.5,18169.5,18179.75,802
2024-05-07T01:45:00Z,18179.75,18183.25,18177.5,18181.5,413
2024-05-07T02:00:00Z,18181.5,18184.75,18179.5,18181.25,455
2024-05-07T02:15:00Z,18181.75,18184.75,18176.5,18184.75,462
2024-05-07T02:30:00Z,18184.25,18184.75,18181.25,18182,353
2024-05-07T02:45:00Z,18182,18186.5,18178.5,18179.5,590
2024-05-07T03:00:00Z,18179,18184.5,18177.5,18184.5,382
2024-05-07T03:15:00Z,18184.75,18187.25,18182.25,18183.5,460
2024-05-07T03:30:00Z,18183.5,18187.75,18181.25,18185.25,374
2024-05-07T03:45:00Z,18185.5,18188.5,18184.75,18188.25,238
2024-05-07T04:00:00Z,18188.25,18190.25,18184.25,18186,379
2024-05-07T04:15:00Z,18185.75,18186,18180.5,18182.5,322
2024-05-07T04:30:00Z,18182.5,18187.5,18180.75,18183.5,485
2024-05-07T04:45:00Z,18184.25,18186.75,18183,18184.25,305
2024-05-07T05:00:00Z,18184.75,18185.5,18182,18183.75,314
2024-05-07T05:15:00Z,18184,18188,18181.75,18186,288
2024-05-07T05:30:00Z,18185.5,18186.25,18180.75,18183.25,376
2024-05-07T05:45:00Z,18183.75,18184,18178.5,18179.75,371
2024-05-07T06:00:00Z,18180,18188.25,18180,18184.25,848
2024-05-07T06:15:00Z,18183.5,18187.25,18180,18180.75,632
2024-05-07T06:30:00Z,18180.75,18183.25,18178.75,18182.25,497
2024-05-07T06:45:00Z,18182,18189,18180.5,18186.25,794
2024-05-07T07:00:00Z,18186.25,18196.5,18181.25,18186,1885
2024-05-07T07:15:00Z,18187,18189.5,18175.25,18178.25,1837
2024-05-07T07:30:00Z,18179,18184.25,18168.75,18171.75,1595
2024-05-07T07:45:00Z,18171.75,18172.5,18163.5,18164.25,1162
2024-05-07T08:00:00Z,18165,18170.75,18155,18155.5,2311
2024-05-07T08:15:00Z,18156.25,18178.5,18155,18174.25,2300
2024-05-07T08:30:00Z,18173.5,18186.5,18173,18184.5,1521
2024-05-07T08:45:00Z,18184.25,18195.75,18183.75,18194.75,1461
2024-05-07T09:00:00Z,18194.75,18199,18190.75,18195.5,1315
2024-05-07T09:15:00Z,18195.25,18196.5,18179.5,18180.5,1302
2024-05-07T09:30:00Z,18180.75,18181.25,18170.5,18175.25,1509
2024-05-07T09:45:00Z,18175.5,18176.25,18164.25,18174.5,1391
2024-05-07T10:00:00Z,18173.75,18177.25,18169.5,18170.75,1190
